k;g;s;v;lbl;dim;kg;A;Ix;Iy;Wx;Wy;ix;iy;iv;ey;ex;U;d_a;d_b;d_t;d_r
L-120X80X10;N;120×80;10;L 120×80×10;120 × 80;14.98;19.09;276.47;98.83;34.29;16.35;3.81;2.28;1.73;3.94;1.96;0.4;120;80;10;9.0
L-120X80X12;N;120×80;12;L 120×80×12;120 × 80;17.78;22.65;323.77;115.04;40.56;19.28;3.78;2.25;1.72;4.02;2.03;0.4;120;80;12;9.0
L-125X75X8;N;125×75;8;L 125×75×8;125 × 75;12.13;15.45;248.19;68.27;29.76;11.75;4.01;2.1;1.63;4.16;1.69;0.4;125;75;8;9.0
L-125X75X10;N;125×75;10;L 125×75×10;125 × 75;14.98;19.09;302.92;82.7;36.69;14.42;3.98;2.08;1.62;4.24;1.77;0.4;125;75;10;9.0
L-125X75X12;N;125×75;12;L 125×75×12;125 × 75;17.78;22.65;354.88;96.15;43.41;17.0;3.96;2.06;1.61;4.32;1.84;0.4;125;75;12;9.0
L-150X75X9;N;150×75;9;L 150×75×9;150 × 75;15.33;19.53;456.73;79.02;47.07;13.35;4.84;2.01;1.61;5.3;1.58;0.45;150;75;9;9.0
L-150X75X10;N;150×75;10;L 150×75×10;150 × 75;16.95;21.59;502.15;86.46;51.98;14.7;4.82;2.0;1.61;5.34;1.62;0.45;150;75;10;9.0
L-150X75X12;N;150×75;12;L 150×75×12;150 × 75;20.13;25.65;589.97;100.61;61.6;17.34;4.8;1.98;1.6;5.42;1.7;0.45;150;75;12;9.0
L-150X75X15;N;150×75;15;L 150×75×15;150 × 75;24.8;31.59;714.47;120.25;75.55;21.15;4.76;1.95;1.58;5.54;1.81;0.45;150;75;15;9.0
L-150X90X10;N;150×90;10;L 150×90×10;150 × 90;18.14;23.1;534.58;147.17;53.55;21.16;4.81;2.52;1.96;5.02;2.04;0.48;150;90;10;9.9
L-150X90X12;N;150×90;12;L 150×90×12;150 × 90;21.56;27.46;628.76;171.94;63.51;25.0;4.78;2.5;1.95;5.1;2.12;0.48;150;90;12;9.9
L-150X90X15;N;150×90;15;L 150×90×15;150 × 90;26.58;33.85;762.57;206.51;77.96;30.54;4.75;2.47;1.93;5.22;2.24;0.48;150;90;15;9.9
L-150X100X10;N;150×100;10;L 150×100×10;150 × 100;18.94;24.12;553.54;199.24;54.38;26.04;4.79;2.87;2.18;4.82;2.35;0.5;150;100;10;10.8
L-150X100X12;N;150×100;12;L 150×100×12;150 × 100;22.52;28.68;651.49;233.33;64.53;30.81;4.77;2.85;2.17;4.9;2.43;0.5;150;100;12;10.8
L-200X100X10;N;200×100;10;L 200×100×10;200 × 100;22.86;29.12;1223.14;213.79;93.99;26.83;6.48;2.71;2.17;6.99;2.03;0.6;200;100;10;10.8
L-200X100X12;N;200×100;12;L 200×100×12;200 × 100;27.23;34.68;1444.67;250.61;111.77;31.77;6.45;2.69;2.15;7.07;2.11;0.6;200;100;12;10.8
L-200X100X15;N;200×100;15;L 200×100×15;200 × 100;33.66;42.87;1763.2;302.4;137.74;38.91;6.41;2.66;2.13;7.2;2.23;0.6;200;100;15;10.8
L-200X150X12;N;200×150;12;L 200×150×12;200 × 150;32.01;40.78;1653.24;804.04;118.83;70.62;6.37;4.44;3.25;6.09;3.62;0.7;200;150;12;14.4
L-200X150X15;N;200×150;15;L 200×150×15;200 × 150;39.62;50.47;2023.48;980.44;146.78;87.04;6.33;4.41;3.23;6.21;3.74;0.7;200;150;15;14.4
