stok_kodu;tip;olcu;yukseklik_mm;genislik_mm;et_kalinligi_mm;kg_m;kesit_alani_cm2;Ix_cm4;Iy_cm4;Wx_cm3;Wy_cm3;ix_cm;iy_cm;boya_yuzeyi_m2_m;agirlik_6m_kg;agirlik_12m_kg
KP-50X20X2.5;Dikdörtgen;50×20×2,5;50;20;2.5;2.42;3.09;8.47;1.92;3.39;1.92;1.66;0.79;0.131;14.55;29.1
KP-50X20X3;Dikdörtgen;50×20×3;50;20;3;2.83;3.61;9.51;2.12;3.81;2.12;1.62;0.77;0.13;16.99;33.99
KP-50X20X4;Dikdörtgen;50×20×4;50;20;4;3.57;4.55;11.01;2.38;4.4;2.38;1.56;0.72;0.126;21.42;42.84
KP-50X25X1.5;Dikdörtgen;50×25×1,5;50;25;1.5;1.65;2.1;6.65;2.25;2.66;1.8;1.78;1.04;0.145;9.9;19.8
KP-50X25X2;Dikdörtgen;50×25×2;50;25;2;2.15;2.74;8.38;2.81;3.35;2.25;1.75;1.01;0.143;12.89;25.78
KP-50X25X2.5;Dikdörtgen;50×25×2,5;50;25;2.5;2.62;3.34;9.89;3.28;3.95;2.62;1.72;0.99;0.141;15.73;31.45
KP-50X25X3;Dikdörtgen;50×25×3;50;25;3;3.07;3.91;11.17;3.67;4.47;2.93;1.69;0.97;0.14;18.41;36.82
KP-50X25X4;Dikdörtgen;50×25×4;50;25;4;3.88;4.95;13.13;4.23;5.25;3.38;1.63;0.92;0.136;23.3;46.61
KP-50X30X1.5;Dikdörtgen;50×30×1,5;50;30;1.5;1.77;2.25;7.54;3.42;3.01;2.28;1.83;1.23;0.155;10.61;21.21
KP-50X30X2;Dikdörtgen;50×30×2;50;30;2;2.31;2.94;9.54;4.29;3.81;2.86;1.8;1.21;0.153;13.83;27.67
KP-50X30X2.5;Dikdörtgen;50×30×2,5;50;30;2.5;2.82;3.59;11.3;5.05;4.52;3.37;1.77;1.19;0.151;16.9;33.81
KP-50X30X3;Dikdörtgen;50×30×3;50;30;3;3.3;4.21;12.83;5.7;5.13;3.8;1.75;1.16;0.15;19.82;39.64
KP-50X30X4;Dikdörtgen;50×30×4;50;30;4;4.2;5.35;15.25;6.69;6.1;4.46;1.69;1.12;0.146;25.19;50.38
KP-60X20X2;Dikdörtgen;60×20×2;60;20;2;2.31;2.94;11.68;1.99;3.89;1.99;1.99;0.82;0.153;13.83;27.67
KP-60X20X2.5;Dikdörtgen;60×20×2,5;60;20;2.5;2.82;3.59;13.8;2.31;4.6;2.31;1.96;0.8;0.151;16.9;33.81
KP-60X20X3;Dikdörtgen;60×20×3;60;20;3;3.3;4.21;15.62;2.56;5.21;2.56;1.93;0.78;0.15;19.82;39.64
KP-60X20X4;Dikdörtgen;60×20×4;60;20;4;4.2;5.35;18.42;2.9;6.14;2.9;1.86;0.74;0.146;25.19;50.38
